# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.03 0.027 0.275 10
-0.027 0.024 0.247 10
-0.024 0.022 -0.053 9
-0.022 0.019 -0.185 11
-0.02 0.017 -0.166 16
-0.018 0.016 -0.15 4
-0.016 0.014 -0.135 9
-0.014 -0.262 0.154 12
-0.013 -0.236 0.139 8
-0.011 -0.212 0.125 11
-0.01 -0.191 0.112 9
0.265 -0.172 0.101 11
0.239 0.12 0.091 10
0.215 0.108 -0.194 9
0.193 0.097 -0.174 11
0.174 0.087 -0.157 12
0.156 0.079 -0.141 7
0.141 -0.204 -0.127 11
0.127 -0.183 -0.114 10
0.114 -0.165 0.31 10
0.102 -0.148 0.142 10
0.092 -0.134 0.127 9
0.083 -0.12 0.115 11
0.075 -0.108 0.103 9
0.067 -0.097 0.093 11
0.06 -0.087 0.083 9
0.054 0.196 0.075 11
0.049 0.038 0.067 9
0.044 0.035 0.061 10
0.039 0.031 0.055 11
0.035 0.028 0.049 10
-0.243 0.025 0.044 10
-0.218 0.022 0.04 9
-0.196 0.02 0.036 10
-0.177 0.018 0.032 11
-0.159 0.016 0.029 9
-0.143 0.015 0.026 11
-0.129 0.013 0.023 10
-0.116 0.012 0.021 9
-0.104 0.01 -0.257 11
-0.094 0.009 -0.231 10
-0.084 0.008 -0.208 10
0.199 0.008 -0.187 10
0.179 0.007 -0.168 10
0.161 0.006 -0.151 14
0.145 0.005 -0.136 6
0.13 0.005 -0.122 18
0.117 0.004 -0.11 2
0.105 0.279 -0.375 10
0.095 0.251 -0.199 9
0.085 0.226 -0.456 11
0.077 0.203 -0.548 10
0.344 0.183 -0.493 9
0.172 0.165 -0.444 19
0.155 0.148 -0.399 2
0.139 0.133 -0.083 10
-0.149 0.12 0.062 9
-0.134 0.108 0.331 11
-0.121 0.097 0.574 10
0.166 0.364 0.655 9
0.149 0.327 0.589 11
0.134 0.294 0.53 10
0.121 0.265 0.477 10
0.109 0.238 0.429 10
-0.177 -0.061 0.386 10
-0.159 -0.192 0.348 10
0.131 -0.173 0.313 10
0.118 -0.156 0.282 10
0.106 0.134 0.253 10
0.096 -0.016 0.228 10
-0.188 -0.014 0.619 17
-0.169 -0.013 0.557 2
-0.152 -0.011 0.501 11
-0.137 -0.01 0.451 9
-0.123 -0.009 0.406 11
-0.111 -0.008 0.365 13
-0.1 -0.007 0.052 6
-0.09 -0.007 -0.09 17
-0.081 -0.006 -0.081 4
-0.073 -0.005 -0.072 10
-0.065 -0.005 -0.065 17
-0.059 -0.004 -0.473 3
0.222 -0.004 -0.563 9
0.199 -0.279 -0.507 11
0.179 -0.113 -0.87 10
-0.113 -0.102 -0.783 9
-0.102 -0.091 -0.705 10
-0.091 -0.082 -0.358 11
-0.082 -0.349 -0.46 9
-0.074 -0.314 -0.414 11
-0.067 -0.283 -0.372 9
-0.06 -0.255 -0.335 11
-0.054 -0.229 -0.301 10
-0.048 -0.206 -0.271 10
-0.043 -0.185 -0.244 10
0.235 0.108 -0.22 9
0.212 0.097 -0.474 11
0.191 0.087 -0.426 9
0.171 0.078 -0.384 11
0.154 0.07 -0.345 10
0.139 0.063 -0.311 9
0.125 0.057 -0.28 11
0.112 0.051 0.161 10
0.101 0.046 0.421 10
0.091 0.041 0.517 10
0.082 0.037 0.741 10
0.074 0.033 0.667 10
0.066 0.03 0.6 9
0.059 0.027 0.54 11
0.053 0.024 0.072 9
0.048 0.022 0.065 11
0.043 0.02 0.058 10
0.039 0.018 0.052 10
0.035 0.016 0.047 10
0.031 0.014 0.042 10
0.028 0.013 0.038 10
0.025 0.011 0.034 12
0.023 0.01 0.031 8
0.02 0.009 0.028 10
0.018 0.008 0.025 9
0.016 0.007 0.022 11
0.015 0.006 0.02 10
0.013 0.006 0.018 9
0.012 0.005 0.016 11
0.011 0.005 0.291 10
0.009 0.004 0.262 10
-0.266 0.004 0.235 10
-0.239 0.003 0.212 10
-0.215 0.003 -0.085 10
-0.194 0.003 -0.076 10
-0.174 0.278 -0.069 10
-0.157 0.25 -0.062 13
-0.141 0.225 -0.055 7
-0.127 0.202 -0.05 10
-0.114 0.182 -0.045 10
-0.103 0.164 -0.04 10
-0.092 -0.127 0.239 10
-0.083 -0.114 0.353 12
-0.075 -0.103 0.318 8
-0.067 -0.093 0.286 10
-0.06 -0.083 -0.017 12
-0.054 -0.075 -0.154 8
-0.049 -0.067 -0.139 11
-0.044 0.214 -0.125 9
-0.039 0.055 -0.112 13
-0.035 0.049 -0.101 9
-0.032 0.044 -0.091 8
-0.029 0.04 -0.082 10
-0.026 0.036 -0.073 10
-0.023 0.032 -0.066 10
-0.021 0.029 0.216 10
0.256 0.026 0.057 10
0.092 0.023 0.051 13
0.083 0.021 0.046 7
0.075 0.295 0.041 10
0.067 0.127 0.037 10
0.06 0.114 0.309 10
0.054 0.103 0.415 14
0.049 0.092 0.374 6
0.044 0.083 0.336 12
0.04 0.075 0.303 12
0.036 0.067 -0.002 6
0.032 0.06 -0.139 14
0.029 0.054 -0.125 8
0.026 0.049 -0.113 11
0.023 0.044 -0.378 7
0.021 0.039 -0.615 15
0.019 0.035 -0.554 5
0.017 0.032 -0.498 10
0.015 0.029 -0.449 12
0.013 0.026 -0.404 9
-0.262 0.023 -0.363 11
-0.236 0.021 0.085 7
-0.212 -0.256 0.077 12
-0.191 -0.368 0.069 12
-0.172 -0.331 0.062 16
-0.155 -0.298 0.056 11
-0.139 -0.268 -0.224 10
-0.125 -0.241 -0.202 9
-0.113 -0.217 -0.182 17
-0.101 -0.195 -0.163 4
-0.091 -0.176 -0.147 10
-0.082 -0.158 -0.132 10
-0.074 -0.142 -0.119 15
-0.066 -0.128 -0.107 5
-0.06 -0.115 -0.096 10
-0.054 -0.104 -0.087 9
-0.048 -0.093 -0.078 11
-0.043 -0.084 -0.07 9
-0.039 -0.075 0.211 11
-0.035 -0.068 0.329 10
-0.031 -0.061 0.296 11
-0.028 -0.055 0.679 11
-0.025 -0.049 0.611 8
-0.023 0.23 0.55 10
-0.02 0.207 0.495 10
-0.018 0.186 0.446 10
-0.016 0.168 0.401 10
-0.015 0.151 0.361 10
-0.013 0.136 0.049 10
-0.012 0.122 0.044 9
-0.011 0.11 0.04 11
-0.01 0.099 -0.377 11
-0.009 0.089 -0.477 9
-0.283 0.08 -0.706 14
-0.255 0.072 -0.635 5
-0.229 0.065 -0.572 11
-0.206 0.058 -0.514 9
-0.186 0.052 -0.463 11
-0.167 0.047 0.273 10
-0.15 0.042 0.245 9
-0.135 0.038 0.221 11
-0.122 0.034 0.199 10
-0.109 0.031 0.179 10
-0.098 0.028 0.161 10
-0.088 0.301 -0.268 10
-0.08 0.271 -0.241 10
-0.072 0.244 -0.217 9
-0.064 0.219 -0.195 11
-0.058 -0.078 0.099 10
-0.052 -0.07 0.227 9
-0.047 -0.063 0.48 11
-0.042 -0.057 0.432 10
-0.038 -0.051 0.389 10
-0.034 -0.046 0.35 10
-0.031 -0.041 0.039 10
-0.027 -0.037 -0.102 14
-0.025 -0.033 -0.092 6
-0.022 -0.03 -0.083 10
-0.02 -0.027 -0.074 10
-0.018 -0.024 -0.067 10
-0.016 -0.022 -0.06 9
-0.014 -0.019 0.221 10
0.262 -0.017 0.199 11
0.373 -0.016 0.454 9
0.336 -0.014 0.409 15
0.302 -0.013 0.368 6
-0.003 -0.011 0.331 9
-0.002 -0.01 0.298 11
-0.002 -0.009 0.268 10
-0.002 -0.008 0.241 10
-0.002 -0.007 0.217 9
-0.001 -0.006 0.195 11
-0.001 -0.006 -0.099 10
-0.001 -0.005 -0.226 10
-0.001 -0.28 -0.204 10
-0.276 -0.252 -0.183 10
-0.248 -0.227 -0.441 10
-0.224 -0.204 -0.397 10
-0.201 -0.184 -0.357 10
-0.181 -0.165 -0.322 10
-0.163 -0.149 -0.013 16
-0.146 -0.134 -0.012 4
-0.132 -0.12 -0.01 10
-0.119 -0.108 -0.009 10
-0.107 -0.097 -0.285 9
-0.096 -0.364 -0.256 10
-0.086 -0.189 -0.23 11
-0.078 -0.17 -0.621 9
-0.07 -0.153 -0.697 11
-0.063 0.137 -0.627 10
-0.056 0.123 -0.84 10
0.224 0.111 -0.618 10
0.339 0.1 -0.556 10
0.305 0.365 -0.501 10
0.274 0.329 -0.45 10
0.247 0.296 -0.405 10
-0.052 0.266 -0.365 10
-0.047 0.239 0.085 10
-0.042 0.215 0.489 10
-0.038 0.194 0.717 10
-0.034 0.174 0.92 10
-0.031 0.157 0.966 10
-0.028 0.417 0.869 19
-0.025 0.376 0.782 11
-0.022 0.338 0.704 10
-0.295 0.028 0.634 10
-0.266 0.025 0.295 10
-0.239 0.022 0.265 10
-0.215 0.02 -0.036 10
-0.194 0.018 0.105 10
-0.174 0.016 0.094 10
-0.157 0.015 0.085 0
-0.141 0.013 0.076 10
-0.127 0.012 0.068 10
-0.114 0.01 0.062 10
-0.103 0.009 0.331 9
-0.092 0.008 0.298 17
-0.083 0.008 0.268 4
-0.075 0.007 0.241 10
-0.067 0.006 0.217 10
-0.06 0.005 -0.079 10
-0.054 0.005 -0.071 10
-0.049 0.004 -0.064 10
-0.044 0.004 -0.058 10
-0.039 -0.271 -0.052 0
-0.035 -0.244 -0.047 10
-0.032 -0.219 -0.042 10
-0.029 -0.197 -0.038 10
-0.026 -0.178 -0.034 10
-0.023 -0.16 -0.03 10
-0.021 -0.144 -0.027 10
-0.019 -0.129 -0.301 9
-0.017 -0.116 -0.408 11
-0.015 -0.105 -0.368 12
