# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.0 0.0 0.021 11
0.0 0.0 0.018 16
0.0 0.0 0.017 5
0.0 0.0 0.015 9
0.0 0.0 0.013 10
0.0 0.0 0.288 10
0.0 0.0 0.259 10
0.0 0.0 0.233 10
0.0 0.0 0.21 10
0.0 0.0 0.189 10
0.0 0.0 0.17 10
0.0 0.0 -0.122 11
0.0 0.0 -0.248 9
0.0 0.0 -0.223 12
0.0 0.0 -0.201 7
0.0 0.0 0.095 15
0.0 0.0 0.085 6
0.0 0.0 0.077 10
0.0 0.0 0.069 10
0.0 0.0 0.062 12
0.0 0.0 0.056 8
0.0 0.0 0.05 11
0.0 0.0 0.045 9
0.0 0.0 0.041 10
0.0 0.0 0.036 9
0.0 0.0 0.033 12
0.0 0.0 0.029 8
0.0 0.0 0.026 11
0.0 0.0 -0.252 9
0.0 0.0 -0.226 10
0.0 0.0 -0.204 16
0.0 0.0 -0.183 5
0.0 0.0 -0.165 13
0.0 0.0 -0.148 7
0.0 0.0 -0.133 9
0.0 0.0 -0.12 10
0.0 0.0 -0.108 11
0.0 0.0 -0.097 10
0.0 0.0 -0.087 10
0.0 0.0 -0.079 10
0.0 0.0 -0.071 12
0.0 0.0 -0.064 8
0.0 0.0 -0.057 11
0.0 0.0 -0.051 8
0.0 0.0 -0.046 11
0.0 0.0 -0.042 9
0.0 0.0 -0.037 11
0.0 0.0 -0.034 10
0.0 0.0 -0.03 10
0.0 0.0 -0.027 10
0.0 0.0 -0.024 9
0.0 0.0 -0.022 11
0.0 0.0 -0.02 9
0.0 0.0 -0.018 11
0.0 0.0 -0.016 16
0.0 0.0 -0.014 4
0.0 0.0 0.263 10
0.0 0.0 0.236 9
0.0 0.0 0.213 11
0.0 0.0 0.191 12
0.0 0.137 0.172 8
0.0 0.123 0.155 10
0.0 0.111 0.139 10
0.0 0.1 0.125 10
0.0 -0.185 0.113 10
0.0 -0.028 0.377 9
0.0 -0.025 0.339 12
0.0 -0.023 0.305 9
0.0 -0.021 0.0 10
0.0 -0.018 0.0 10
0.0 -0.017 0.0 10
0.0 -0.015 0.0 10
0.275 -0.013 0.0 10
0.11 -0.012 0.0 16
0.099 -0.011 0.0 6
0.089 -0.01 0.0 8
0.08 -0.009 0.0 10
0.072 -0.008 0.0 10
0.065 -0.007 0.0 11
0.058 -0.006 0.0 13
0.052 -0.005 0.0 6
0.047 -0.005 0.0 9
0.042 -0.004 0.0 11
0.038 -0.004 0.0 10
0.034 -0.003 0.0 9
0.031 -0.003 0.0 11
0.028 -0.003 0.0 9
0.025 -0.002 0.0 11
0.022 -0.002 0.0 12
-0.254 -0.002 -0.276 7
-0.229 -0.002 -0.111 11
-0.206 -0.001 -0.099 10
-0.185 -0.001 -0.089 10
-0.167 -0.001 -0.08 10
-0.15 -0.001 -0.072 10
-0.135 -0.001 -0.065 10
-0.121 -0.001 -0.058 9
-0.109 0.0 -0.053 11
-0.098 0.0 -0.047 9
-0.088 0.0 -0.043 10
-0.08 0.0 -0.038 12
-0.072 0.0 -0.034 8
-0.064 0.0 -0.031 11
0.079 0.0 -0.028 10
0.071 0.0 -0.025 10
0.064 0.0 -0.022 9
0.057 0.0 -0.02 11
0.052 0.0 -0.018 11
0.046 0.0 -0.016 8
0.042 0.0 -0.014 11
0.037 0.0 -0.013 9
0.034 0.0 -0.012 11
0.03 0.0 -0.01 10
0.027 0.0 -0.009 10
0.024 0.0 -0.008 10
0.022 0.0 -0.007 9
0.02 0.0 -0.007 11
0.018 0.0 -0.006 9
0.016 0.0 -0.005 11
0.014 0.0 -0.005 10
0.013 0.0 -0.004 9
0.011 0.0 -0.004 11
0.01 0.0 -0.003 11
0.009 0.0 -0.003 9
0.008 0.0 -0.003 11
0.007 0.0 -0.002 8
0.007 0.0 -0.002 11
0.006 0.0 -0.002 10
0.005 0.0 -0.002 10
0.005 0.0 -0.001 11
0.004 0.0 -0.001 9
0.004 0.0 -0.001 10
0.003 0.0 -0.001 9
0.003 0.0 -0.001 11
0.003 0.0 -0.001 10
0.002 0.0 0.0 9
0.002 0.0 0.0 17
0.002 0.0 0.0 4
0.001 0.0 0.0 10
0.001 0.0 0.0 10
0.001 0.0 0.0 12
0.001 0.0 0.275 10
0.001 0.0 0.385 13
0.001 0.0 0.347 4
0.001 0.0 0.312 11
0.0 0.0 -0.132 10
0.0 0.0 -0.119 10
0.0 0.0 -0.107 10
0.0 0.0 -0.096 11
0.0 0.0 -0.087 14
0.0 0.0 -0.078 7
0.0 0.0 -0.07 12
0.0 0.0 -0.063 8
0.0 0.0 -0.057 9
0.0 0.0 -0.051 9
0.0 0.0 -0.046 10
0.0 0.275 -0.041 10
0.0 0.11 -0.037 10
-0.275 -0.176 0.242 17
-0.247 -0.158 0.218 3
-0.222 -0.142 0.609 17
-0.2 -0.128 0.687 2
-0.18 -0.115 0.618 11
-0.162 -0.104 0.556 10
0.129 -0.093 0.224 10
0.116 -0.084 -0.349 12
0.104 -0.075 -0.589 7
0.094 -0.068 -0.668 11
0.084 -0.337 -0.878 10
0.076 -0.441 -0.79 10
0.068 -0.397 -0.711 10
0.061 -0.357 -0.363 10
0.055 -0.321 -0.189 10
0.325 -0.013 -0.17 10
0.292 -0.012 0.26 10
0.263 -0.01 0.371 10
0.237 -0.009 0.61 10
0.213 -0.008 0.686 10
0.192 0.405 0.618 10
0.172 0.364 0.556 10
0.155 0.328 0.5 10
0.14 0.295 0.175 10
0.126 0.265 -0.117 10
0.113 0.239 -0.105 10
0.102 0.215 -0.095 10
-0.183 0.193 -0.362 9
-0.302 0.174 -0.463 11
-0.272 -0.118 -0.417 10
-0.245 -0.244 -0.1 10
-0.22 -0.633 0.186 11
-0.474 -0.708 0.305 9
-0.427 -0.637 0.274 10
-0.384 -0.573 0.247 10
-0.346 -0.93 -0.191 19
-0.311 -0.699 -0.447 10
-0.28 -0.629 -0.54 11
-0.252 -0.566 -0.486 10
0.049 -0.509 -0.437 10
0.319 -0.182 0.018 11
0.425 -0.164 0.155 9
0.382 -0.147 0.415 10
0.069 -0.133 0.373 10
0.062 -0.119 0.061 10
0.055 0.167 -0.635 9
0.463 0.427 -0.571 11
0.83 0.935 -0.238 10
1.575 1.117 0.199 9
1.693 1.281 1.006 11
1.662 1.292 1.181 14
1.496 1.162 1.063 6
1.07 1.046 0.956 10
0.687 0.941 0.585 11
0.48 0.847 0.389 12
0.432 0.762 0.35 7
0.113 0.686 0.315 10
-0.035 0.341 0.284 9
-0.031 -0.381 0.255 11
-0.442 -0.481 0.23 12
-0.673 -0.433 0.207 7
-1.019 -0.803 -0.227 11
-0.917 -0.998 0.07 10
-1.102 -1.175 -0.211 10
-0.991 -1.195 -0.19 11
-1.168 -1.075 -0.171 9
-1.051 -1.244 -0.429 10
-0.946 -1.12 -0.663 10
-0.851 -1.008 -0.459 10
-0.766 -0.631 -0.688 10
-0.689 -0.43 -0.757 10
-0.345 -0.387 -0.681 10
-0.172 -0.348 -0.613 10
-0.155 -0.037 -0.828 10
0.135 0.241 -0.883 9
0.535 0.355 -0.795 11
0.481 0.319 -0.715 12
0.433 0.287 -0.229 7
0.39 0.259 0.068 17
0.351 0.233 0.337 4
0.316 0.209 0.579 10
0.284 0.188 1.073 12
0.256 0.169 1.241 8
0.23 0.152 1.117 11
0.207 0.137 1.005 8
0.186 0.123 0.904 11
0.168 0.387 0.814 9
0.151 0.349 0.457 10
-0.139 0.314 0.135 11
-0.4 0.282 -0.153 9
-0.36 0.254 0.0 11
-0.324 0.228 0.0 10
-0.292 0.206 0.0 10
-0.262 0.185 -0.275 10
-0.236 0.166 -0.799 11
-0.626 -0.126 -1.271 17
-0.564 -0.113 -1.144 2
-0.507 -0.102 -1.029 10
-0.457 -0.367 -0.651 9
-0.411 -0.468 0.103 11
-0.784 -0.421 0.368 12
-0.705 -0.379 0.607 8
-0.635 -0.341 0.546 10
-0.157 -0.307 0.216 10
-0.004 -0.276 -0.494 10
-0.003 -0.248 -0.721 10
0.272 -0.223 -0.786 10
0.383 0.073 -0.708 10
0.62 0.066 -0.637 9
0.558 0.059 -0.573 11
0.502 0.053 -0.516 10
0.727 0.048 -0.464 9
0.654 0.043 -0.418 11
0.589 0.315 -0.376 10
0.53 0.283 -0.338 9
0.477 0.255 -0.028 11
0.429 0.23 0.249 10
0.386 0.207 0.224 12
0.348 0.186 0.478 9
-0.237 0.167 0.568 9
-0.351 0.15 0.511 10
-0.316 0.135 0.735 10
-0.284 -0.154 0.799 11
-0.256 -0.138 0.719 9
-0.23 -0.124 0.647 11
-0.207 -0.112 0.583 8
-0.186 -0.101 0.524 11
0.107 -0.09 0.472 10
0.096 -0.081 0.425 9
0.086 0.202 0.382 10
0.078 0.182 0.068 11
0.07 0.164 -0.075 10
0.063 0.147 -0.482 9
0.057 0.132 -0.571 11
0.051 0.119 -0.514 11
0.321 0.107 -0.462 9
0.427 0.096 -0.002 11
0.659 0.087 0.135 9
0.456 0.078 0.121 10
0.135 0.07 0.384 10
-0.705 -0.212 0.622 10
-1.048 -0.191 0.835 12
-1.357 -0.586 0.614 11
-1.497 -0.527 0.276 7
-1.348 -0.474 -0.163 9
-1.213 -0.427 -0.699 11
-1.091 -0.108 -1.043 13
-0.982 0.04 -1.352 7
-0.194 0.312 -1.217 18
-0.174 0.281 -1.095 1
-0.157 0.666 -0.71 11
-0.141 0.599 -0.363 10
-0.127 0.539 -0.05 10
-0.39 0.485 0.505 10
-0.489 0.437 0.592 10
-0.44 0.393 0.533 10
-0.81 0.354 0.755 10
-1.004 0.318 0.818 10
-0.904 0.286 0.736 10
-1.09 0.258 0.663 10
-0.981 0.232 0.596 10
-0.883 -0.066 0.26 9
-0.794 -0.197 0.234 11
-0.439 -0.177 0.211 9
-0.395 -0.436 0.19 10
-0.355 -0.392 0.171 11
-0.044 -0.353 0.154 10
0.097 -0.041 -0.136 10
0.639 0.1 -0.26 9
0.851 0.09 -0.234 11
0.904 0.081 -0.625 12
0.813 0.073 -0.7 8
0.732 0.341 -0.63 17
0.659 0.307 -0.843 5
0.593 0.276 -0.759 8
0.81 0.524 -0.683 9
0.729 0.472 -0.338 11
0.656 0.425 -0.029 11
0.59 0.382 0.111 9
0.531 0.619 0.1 16
0.064 0.557 0.09 3
-0.079 0.502 0.081 11
-0.348 0.451 0.072 12
-0.313 0.131 0.065 8
-0.281 0.118 0.059 11
-0.253 0.106 0.053 8
-0.228 0.095 -0.227 11
-0.48 0.086 -0.204 9
-0.432 -0.198 -0.184 11
-0.389 -0.178 -0.165 10
-0.626 -0.161 -0.149 10
-0.701 -0.144 0.279 10
-0.631 -0.13 0.527 13
-0.293 -0.117 0.612 7
-0.263 -0.105 0.55 12
-0.237 -0.095 0.082 14
-0.213 -0.085 0.074 4
-0.192 -0.077 -0.623 10
-0.173 -0.069 -0.698 9
0.12 0.213 -0.628 11
0.383 0.192 -0.565 9
0.345 0.173 -0.509 12
0.31 0.155 -0.458 10
0.279 0.14 -0.412 9
0.251 0.126 -0.095 10
0.226 0.113 0.327 10
0.204 0.102 0.846 18
0.183 0.092 0.761 2
0.441 0.358 0.685 10
0.397 0.46 0.204 9
0.357 0.69 0.045 11
0.321 0.621 0.04 10
0.289 0.559 0.036 10
0.26 0.503 0.446 18
0.234 0.452 0.402 2
0.211 -0.006 0.361 10
-0.086 -0.005 0.325 10
0.06 -0.005 0.293 10
0.054 -0.004 0.263 11
0.049 -0.004 0.237 8
0.044 0.272 0.213 11
0.315 0.106 -0.083 9
0.146 0.096 -0.351 11
-0.144 0.086 -0.453 10
-0.13 0.077 -0.408 9
-0.117 0.346 -0.367 11
-0.105 0.311 -0.055 11
0.181 0.28 0.226 9
0.3 0.252 0.479 10
0.547 0.227 0.569 10
0.492 0.204 0.512 10
0.443 0.184 0.46 10
0.398 0.165 0.414 10
0.358 0.149 0.373 9
0.323 -0.142 0.336 11
0.566 -0.127 0.302 11
0.509 -0.115 0.272 9
0.458 -0.103 -0.03 10
0.412 -0.093 -0.165 10
0.371 -0.083 -0.424 10
0.334 -0.075 -0.795 10
0.3 -0.067 -0.992 16
0.27 0.352 -0.893 4
0.243 0.042 -0.803 10
0.219 -0.1 -0.447 10
0.197 -0.09 -0.126 10
0.177 -0.081 -0.114 11
0.572 -0.073 -0.102 9
0.653 -0.341 -0.092 17
0.588 -0.307 -0.083 2
0.529 -0.276 -0.074 10
0.476 -0.248 -0.067 10
0.428 -0.224 -0.06 0
0.11 -0.201 -0.054 1
0.099 -0.457 -0.049 10
0.089 -0.411 -0.044 10
0.631 -0.37 -0.039 10
0.844 -0.057 -0.035 9
0.897 -0.051 0.381 11
0.807 -0.046 0.481 12
1.003 -0.041 0.433 9
0.489 -0.037 0.389 11
0.44 -0.033 -0.063 8
0.396 -0.306 -0.332 10
0.356 -0.413 -1.264 10
0.32 -0.372 -1.689 10
0.288 -0.058 -1.934 12
0.259 0.222 -2.016 8
0.233 0.2 -2.09 10
0.21 0.18 -1.881 10
0.189 0.438 -1.693 11
0.17 0.394 -1.11 9
0.153 0.355 -0.723 9
0.552 1.146 0.589 14
0.772 1.583 0.53 7
-0.132 1.425 1.167 10
-0.532 1.696 1.602 9
-0.754 1.25 1.579 11
-0.817 0.712 1.421 10
-0.735 0.227 1.279 10
-0.661 -0.071 0.599 10
-0.595 -0.477 -0.149 9
-0.949 -0.154 -0.686 11
-1.405 -0.001 -1.031 9
-1.541 -0.001 -1.341 10
-1.249 0.412 -1.896 19
-0.434 0.509 -1.845 4
0.297 0.458 -1.661 8
1.232 1.101 -1.081 10
2.074 1.268 -0.696 10
1.592 0.864 -0.626 10
0.881 -0.462 -0.564 13
-0.034 -0.416 -0.784 7
-0.444 -0.374 -0.705 9
-0.537 -0.337 -0.635 11
-0.484 -0.303 -0.571 10
-0.711 -0.273 0.726 9
-1.053 -0.658 1.343 11
-1.223 -0.731 2.037 10
-1.101 -0.106 2.522 10
-0.715 0.317 2.684 10
-0.782 0.562 2.277 10
-0.98 0.506 2.049 10
-1.295 0.179 1.292 10
-1.717 -0.114 1.025 10
-2.511 -0.378 0.923 9
-2.26 -0.616 0.831 11
-2.034 -0.693 1.437 9
-1.554 -0.624 1.293 11
-1.399 -0.285 1.164 11
-0.983 0.018 1.047 8
0.355 0.155 0.943 17
1.148 0.139 1.125 4
1.446 0.125 1.15 10
1.301 0.113 0.759 10
1.171 0.101 0.132 10
0.365 -0.184 -0.57 10
-0.085 -0.303 -1.203 9
-0.352 -0.273 -1.635 11
-0.593 -0.522 -1.609 10
-0.671 -0.47 -1.172 9
-0.604 -0.423 -0.917 11
-0.267 -0.104 -0.825 10
-0.103 -0.094 -0.467 10
-0.092 -0.084 -0.558 10
-0.083 0.475 -0.502 10
-0.075 0.565 -0.452 11
-0.067 0.509 -0.407 8
0.214 0.734 0.323 17
0.606 0.661 0.567 4
0.822 0.594 0.923 10
1.015 0.535 1.107 16
1.051 0.481 0.996 4
0.946 0.433 0.896 10
0.576 0.39 0.393 9
0.518 0.351 0.353 11
0.467 0.039 0.318 9
0.695 -0.239 0.286 10
1.039 -0.491 -0.293 11
0.935 -0.718 -0.953 10
0.841 -0.922 -2.237 10
0.482 -0.968 -2.565 9
0.571 -1.422 -2.86 11
0.239 -1.556 -3.125 12
-0.06 -1.539 -3.365 7
-0.605 -1.385 -4.269 11
-0.959 -1.246 -4.256 9
-1.138 -1.121 -3.968 11
-1.163 -0.595 -2.882 10
-0.495 -0.122 -1.628 9
-0.031 0.027 0.602 12
0.385 0.024 1.507 8
0.622 0.297 1.908 11
0.697 0.406 2.407 9
1.317 1.055 2.304 11
2.839 3.156 1.384 9
2.694 3.805 0.142 11
1.735 3.012 1.369 10
0.596 0.917 3.715 10
-0.29 0.825 4.998 10
-1.64 0.742 5.188 12
-2.027 0.393 5.22 7
-2.238 0.078 4.285 11
-2.152 -0.619 3.442 10
-2.35 -0.97 2.546 10
-2.391 -1.287 1.74 9
-2.152 -1.71 0.877 11
-1.937 -1.814 -0.451 10
-1.743 -1.909 -0.958 9
-1.569 -1.581 -1.551 11
-1.412 -1.146 -1.81 10
-0.719 -0.618 -1.904 10
0.041 -0.28 -2.128 10
0.727 0.022 -1.915 10
1.482 0.986 -1.724 10
1.884 1.025 -1.551 9
1.834 0.922 -1.396 11
1.65 0.83 -0.842 10
1.21 0.472 -0.206 10
0.951 0.148 -0.048 10
0.856 -0.141 -0.043 9
0.081 -0.265 -0.039 11
-0.064 -0.238 -0.035 9
-0.058 -0.214 -0.031 11
-0.052 -0.193 0.246 12
-0.323 -0.174 0.36 8
-0.428 -0.156 0.6 9
-0.661 -0.14 0.402 11
-0.733 -0.126 0.362 9
-0.66 -0.114 -0.225 11
0.096 -0.102 -0.892 17
0.086 0.32 -0.803 3
0.629 0.427 -0.723 9
0.566 0.384 -0.65 11
0.509 0.345 0.103 10
0.458 0.586 0.231 10
0.412 0.528 0.207 12
0.371 0.475 0.187 7
0.334 0.427 0.168 11
0.576 0.384 0.151 10
0.381 0.346 -0.138 10
0.066 -0.102 -0.401 10
-0.491 -0.229 -0.636 10
-1.131 -0.206 -0.711 10
-1.156 -0.186 -0.64 9
-1.04 -0.442 -0.576 11
-0.522 -0.398 -0.518 10
-0.195 -0.358 -0.19 10
0.238 -0.322 -0.447 10
0.214 -0.29 -0.54 9
0.193 -0.261 -1.038 11
0.173 0.04 -1.209 9
0.156 0.173 -1.226 11
0.554 0.156 -1.103 10
0.774 0.554 -0.58 10
0.972 0.775 0.166 10
1.013 0.973 1.529 10
0.911 1.013 1.928 10
0.82 0.912 2.011 10
0.187 0.821 2.086 9
-0.107 0.739 1.739 11
-0.509 0.252 0.738 9
-0.872 0.088 0.112 11
-0.923 -0.333 -0.036 9
-0.83 -0.438 -0.032 10
-1.024 -0.395 -0.305 13
-1.059 -0.768 -0.412 8
-0.953 -0.691 -0.371 10
-0.858 -0.622 -0.334 9
-0.772 -0.284 -0.024 11
0.132 -0.118 -0.022 9
0.532 0.169 -0.019 10
0.755 0.152 -0.845 12
0.68 0.137 -1.175 8
0.612 0.123 -1.747 17
0.551 0.111 -1.572 4
0.081 0.1 -1.828 9
0.073 0.09 -1.645 11
0.48 0.081 -1.205 10
0.707 0.072 -0.671 10
1.325 0.479 -0.328 9
2.02 0.707 0.256 11
1.818 0.774 0.506 10
1.36 0.696 1.007 10
0.672 0.213 1.044 10
0.192 -0.497 0.94 10
-0.102 -0.448 0.846 10
-0.505 -0.403 0.347 9
-0.73 -0.638 0.175 11
-0.795 -0.574 0.157 10
-0.992 -0.517 0.555 9
-1.03 -0.465 0.913 10
-0.927 -0.418 1.236 10
-0.834 -0.376 1.664 10
-0.475 -0.339 2.049 11
-0.428 -0.305 1.844 9
-0.385 -0.274 1.66 11
-0.07 -0.247 1.494 9
-0.063 -0.222 0.378 16
-0.057 -0.2 0.065 5
-0.465 0.095 -0.354 9
-0.556 -0.052 -0.457 18
-0.5 -0.046 -0.687 3
-0.45 -0.042 -0.618 10
-0.405 -0.037 -0.557 9
-0.089 -0.034 -0.501 11
0.195 -0.03 -0.726 10
0.451 0.248 -0.791 10
0.82 0.361 -0.712 10
0.738 0.325 -0.641 9
0.664 0.292 -0.577 11
0.322 0.538 -0.244 10
0.151 -0.066 -0.219 10
0.136 -0.197 -0.473 11
-0.152 -0.177 -0.425 8
-0.137 -0.16 -0.383 11
-0.123 -0.144 -0.344 10
-0.111 -0.129 -0.31 10
-0.1 -0.116 -0.279 10
-0.09 -0.105 0.161 10
-0.081 -0.094 0.421 10
-0.072 -0.085 0.655 9
-0.065 -0.076 0.451 10
0.216 -0.068 0.131 11
0.056 -0.062 -0.158 10
-0.224 -0.055 -0.28 12
-0.201 -0.05 -0.252 7
-0.181 -0.32 -0.226 11
-0.439 -0.427 -0.204 9
-0.533 -0.384 0.23 10
0.071 -0.346 0.207 11
-0.211 -0.311 0.186 10
-0.19 -0.28 0.167 10
-0.171 -0.252 0.426 10
0.121 -0.227 0.383 9
0.247 -0.204 0.621 11
0.222 -0.183 0.42 10
0.2 -0.165 0.378 10
0.456 -0.148 0.065 10
0.41 -0.134 -0.078 10
0.369 -0.12 -0.07 10
0.332 -0.108 -0.34 10
0.299 -0.097 -0.306 10
0.269 -0.087 -0.275 10
0.242 -0.079 -0.247 10
0.218 -0.346 0.19 10
0.471 -0.174 -0.104 10
-0.126 -0.432 0.319 10
0.162 -0.665 0.564 10
0.145 -0.461 0.369 11
-0.145 -0.414 0.332 8
-0.268 -0.373 0.575 11
-0.241 -0.336 0.517 10
-0.217 -0.302 0.879 10
-0.195 -0.272 0.791 10
-0.175 0.031 0.712 10
0.117 0.028 0.64 11
0.105 0.025 0.576 9
0.094 0.022 0.519 10
0.085 0.295 0.191 10
0.353 0.128 -0.102 10
0.18 0.115 -0.368 16
0.162 0.104 -0.607 8
0.145 0.093 -0.546 5
-0.145 0.084 -0.768 10
-0.13 0.075 -0.553 11
-0.117 0.068 -0.498 11
0.17 0.061 -0.448 8
0.291 0.055 -0.403 11
0.262 0.326 -0.363 9
-0.315 0.154 -0.05 17
-0.284 0.139 0.092 4
-0.255 -0.149 0.082 9
-0.23 -0.272 0.35 11
-0.207 -0.245 0.315 10
-0.186 -0.22 0.284 10
-0.167 -0.198 0.255 9
-0.151 -0.178 0.23 11
-0.135 -0.16 -0.069 10
0.153 -0.144 -0.062 10
0.137 -0.13 -0.055 10
0.123 -0.117 -0.05 9
0.111 -0.105 -0.045 10
0.1 -0.095 0.235 11
-0.185 -0.085 0.349 10
-0.166 -0.076 0.314 10
-0.149 -0.069 0.283 10
-0.134 -0.062 -0.159 16
-0.121 -0.056 -0.143 4
0.166 -0.05 -0.128 10
0.149 -0.045 -0.115 10
0.134 -0.04 -0.104 10
0.121 -0.036 -0.093 12
0.109 -0.033 -0.084 7
0.098 -0.029 -0.076 11
-0.324 -0.026 0.207 10
-0.292 -0.024 0.187 9
-0.263 -0.021 0.168 11
-0.236 -0.295 0.151 10
-0.213 -0.128 0.136 10
-0.191 -0.115 -0.153 10
0.102 -0.104 -0.138 10
0.092 -0.093 -0.124 10
0.083 -0.084 -0.111 14
0.074 -0.075 -0.1 6
0.067 -0.068 -0.09 9
0.06 -0.061 -0.081 18
0.054 -0.055 -0.073 3
0.049 -0.049 -0.066 9
0.044 -0.044 -0.059 11
0.039 -0.04 -0.053 12
0.035 -0.036 -0.048 8
0.032 -0.032 -0.043 12
0.029 -0.029 -0.039 8
0.026 -0.026 -0.035 10
0.023 -0.023 -0.031 10
0.021 -0.021 -0.028 15
0.019 -0.019 -0.025 5
0.017 -0.017 -0.023 10
0.291 -0.015 -0.296 9
0.262 -0.014 -0.266 11
0.236 -0.012 -0.239 10
0.212 -0.011 -0.215 10
0.191 -0.01 -0.194 9
0.172 -0.009 -0.174 12
0.155 -0.008 -0.157 9
0.139 -0.007 -0.141 10
-0.15 -0.006 -0.127 10
-0.273 -0.006 -0.114 10
-0.246 -0.005 -0.103 10
-0.221 -0.004 0.182 9
-0.199 -0.004 0.026 12
-0.179 -0.003 0.299 8
-0.161 -0.003 0.407 16
-0.145 -0.003 0.367 5
-0.13 -0.002 0.33 17
-0.117 -0.002 0.297 9
-0.105 -0.002 0.267 4
-0.095 -0.002 0.24 10
0.189 -0.001 0.216 10
0.17 -0.001 0.195 10
0.153 -0.001 0.175 9
0.138 -0.001 0.433 11
0.124 -0.001 0.39 10
0.111 -0.001 0.351 10
0.1 -0.001 0.315 10
0.366 0.0 0.284 9
0.33 0.0 -0.019 11
0.297 0.275 -0.017 11
0.267 0.248 -0.015 8
0.24 0.223 -0.014 11
0.216 0.2 -0.289 10
0.195 0.18 -0.26 10
0.175 0.162 -0.234 10
-0.118 0.146 -0.21 10
-0.106 0.131 -0.189 10
-0.095 0.118 -0.17 10
-0.086 0.106 -0.153 13
0.198 0.096 -0.138 16
0.178 0.086 -0.124 11
0.16 0.077 -0.111 9
0.144 0.07 -0.1 11
0.13 -0.074 -0.09 9
0.117 -0.067 -0.081 11
0.105 -0.06 0.202 11
-0.181 -0.054 0.043 8
-0.163 -0.325 0.315 17
-0.146 -0.292 0.284 4
-0.132 -0.263 0.255 10
0.157 -0.237 0.23 10
0.141 -0.213 0.207 10
0.127 -0.192 0.186 10
0.114 0.103 0.167 9
0.103 0.093 0.151 10
0.368 0.083 -0.14 11
0.193 0.075 -0.126 10
0.174 0.067 -0.113 10
-0.118 0.061 -0.102 10
-0.106 0.054 -0.367 10
-0.372 0.049 -0.33 14
-0.335 0.044 -0.297 6
-0.301 0.04 -0.267 10
0.142 0.036 0.034 10
0.403 0.032 -0.106 10
1.19 0.029 -0.096 10
-0.72 0.026 -1.603 10
0.04 0.023 -0.201 10
-0.239 0.021 0.508 10
0.336 0.019 0.457 12
0.853 0.017 0.411 7
1.044 0.29 0.37 11
0.939 0.261 0.333 9
0.845 0.235 -0.114 11
0.347 0.212 -0.516 12
0.312 0.19 -0.602 8
0.281 0.171 -0.542 10
0.253 0.154 -0.763 10
-0.047 0.139 -0.687 10
-0.318 0.125 -0.618 12
-0.148 0.112 -0.556 9
-0.133 0.101 -0.5 10
-0.12 0.091 -0.45 9
-0.108 0.082 -0.13 10
-0.097 0.073 0.02 10
-0.087 0.066 0.294 10
-0.078 0.059 0.265 10
-0.071 0.053 0.514 10
-0.063 0.048 0.601 10
-0.057 0.043 0.541 9
-0.051 -0.236 0.487 11
-0.046 -0.212 0.438 10
-1.834 -2.26 -0.019 10
-0.41 -0.241 0.12 10
0.457 0.058 0.522 10
-0.966 -1.188 0.607 10
1.06 -0.104 1.098 10
1.643 0.457 1.54 10
0.513 0.963 1.386 12
0.462 0.867 0.696 8
0.416 0.78 -0.339 16
0.374 0.702 -0.305 4
-0.213 0.632 -1.239 3
-0.192 0.569 -1.115 10
-0.173 0.512 -1.004 10
-0.155 0.46 -0.765 7
-0.553 0.139 -0.689 10
-0.497 -0.013 -0.206 9
-0.448 -0.011 -0.048 11
-0.403 -0.7 -0.043 10
0.187 -1.181 -0.038 10
-0.244 -1.063 0.24 11
-0.633 -0.68 0.492 9
-0.845 -0.475 0.718 10
-0.623 -0.427 0.646 9
-0.561 -0.109 0.582 12
-0.505 -0.236 0.523 8
-0.454 -0.212 0.196 11
-0.133 -0.191 0.176 10
-0.12 -0.585 0.158 9
-0.108 -0.526 0.143 11
0.178 0.49 0.404 9
0.711 0.717 0.639 11
0.778 0.369 -1.216 11
0.149 0.057 -1.233 15
0.134 0.051 -1.11 4
0.121 0.046 -0.999 10
0.109 1.282 -0.899 10
1.614 2.258 0.018 10
1.866 2.307 -0.534 10
1.404 1.939 -1.722 10
0.987 0.779 -1.412 9
0.751 0.84 -0.995 11
0.675 0.756 -0.896 10
0.608 0.68 -0.806 10
0.272 0.06 -0.035 10
0.106 -0.359 0.794 10
0.095 -1.012 1.129 10
0.086 -1.05 0.878 10
0.077 -0.945 0.79 10
0.069 -0.85 0.711 10
0.062 -0.765 0.916 10
0.056 -0.688 0.272 15
0.05 -0.62 -0.168 4
0.045 -0.558 0.124 12
-0.371 -0.225 0.249 8
-0.61 -0.341 -0.05 18
-0.549 -0.306 -0.045 3
